Country,Population
Sri Lanka,21.413249
St Martin,0.038666
State of Palestine,5.101414
Sudan,43.84926
Suriname,0.586632
Sweden,10.099265
Switzerland,8.654622
Syria,17.500658
Taiwan,23.816775
Tajikistan,9.537645
Tanzania,59.734218
Tasmania,0.515
Thailand,69.799978
Tianjin,12.9382
Tibet,3.0022
Timor-Leste,1.318445
Togo,8.278724
Tokelau,0.001357
Tonga,0.105695
Trinidad and Tobago,1.399488
Tunisia,11.818619
Turkey,84.339067
Turkmenistan,6.0312
Turks and Caicos Islands,0.038717
Tuvalu,0.011792
U.S. Virgin Islands,0.104425
Uganda,45.741007
Ukraine,43.733762
United Arab Emirates,9.890402
United Kingdom,67.886011
Uruguay,3.47373
US,331.002651
Uzbekistan,33.469203
Vanuatu,0.307145
Venezuela,28.43594
Victoria,5.641
Vietnam,97.338579
Wallis & Futuna,0.011239
Western Australia,2.367
Western Sahara,0.597339
Xinjiang,21.8133
Yemen,29.825964
Yukon,0.040369
Yunnan,45.9662
Zambia,18.383955
Zhejiang,54.4269
Zimbabwe,14.862924
